alongside, [ə`lɔŋ`saɪd] adv.prep.並排(地)
veterinarian, [͵vɛtərə`nɛrɪən] n.獸醫(vet)
vibration, [vaɪ`breʃən] n.顫動；共鳴
vice, [vaɪs] n.惡 adj.副的
vicious, [`vɪʃəs] adj.邪惡的；惡性的
victimize, [`vɪktɪ͵maɪz] vt.使受害；欺騙
victor, [`vɪktɚ] n.勝利者
victorious, [vɪk`torɪəs] adj.勝利的
villa, [`vɪlə] n.別墅
vineyard, [`vɪnjɚd] n.葡萄園
virtual, [`vɝtʃʊəl] adj.實際上的；虛擬的
visualize, [`vɪʒʊə͵laɪz] vt.vi.使視覺化；想像
vitality, [vaɪ`tæ lətɪ] n.活力；生命力
vocal, [`vok!] adj.聲音的；歌唱的
vocation, [vòkeʃən] n.行業；傾向
vocational, [vòkeʃən!] adj.職業的
vogue, [vog] n.流行(物)
vomit, [`vɑmɪt] vt.vi.n.嘔吐
vulgar, [`vʌlgɚ] adj.粗俗的；通俗的
vulnerable, [`vʌlnərəb!] adj.易受傷的
wardrobe, [`wɔrd͵rob] n.衣櫥
warfare, [`wɔr͵fɛr] n.戰爭
warranty, [`wɔrəntɪ] n.保證書；擔保
waterproof, [`wɑtɚ͵pruf] adj.防水的
watertight, [`wɑtɚ`taɪt] adj.防水的
whatsoever, [ˌwɑtsoˈɛvɚ] pron.adv.adj.任何事物；無論甚麼(的)
windshield, [`wɪnd͵ʃild] n.擋風玻璃
withstand, [wɪð`stæ nd] vt.vi.反抗；禁得起
witty, [`wɪtɪ] adj.機智的；說話風趣的
woo, [wu] vt.vi.追求；求愛；爭取
wrench, [rɛntʃ] vt.vi.n.猛扭；扭傷
wrestle, [`rɛs!] vt.摔(角)；與…搏鬥
Xerox, [`zɪrɑks] n.影印機(商標名)(大寫)
xerox, [`zɪrɑks] n.靜電複印法(小寫)
yearn, [jɝn] vi.思念；渴望
zeal, [zil] n.熱心；熱誠
